docname,topic,proportion
6268_mda.txt,000,0.814068
6268_mda.txt,008,0.062133
6268_mda.txt,014,0.027472
6268_mda.txt,011,0.021118
6268_mda.txt,013,0.013607
6268_mda.txt,003,0.013595
6268_mda.txt,017,0.009537
6268_mda.txt,002,0.009233
6268_mda.txt,009,0.008995
6268_mda.txt,010,0.008687
6369_mda.txt,004,1.0
6305_mda.txt,002,0.317446
6305_mda.txt,006,0.290397
6305_mda.txt,014,0.144576
6305_mda.txt,000,0.086704
6305_mda.txt,013,0.080649
6305_mda.txt,017,0.044626
6305_mda.txt,003,0.035602
6276_mda.txt,003,0.910013
6276_mda.txt,011,0.043379
6276_mda.txt,002,0.031176
6276_mda.txt,000,0.015432
6519_mda.txt,000,0.666992
6519_mda.txt,014,0.13312
6519_mda.txt,003,0.073732
6519_mda.txt,011,0.058556
6519_mda.txt,002,0.02506
6519_mda.txt,012,0.016666
6519_mda.txt,013,0.016256
6519_mda.txt,009,0.009619
6218_mda.txt,004,1.0
6578_mda.txt,014,0.550706
6578_mda.txt,012,0.165053
6578_mda.txt,019,0.107334
6578_mda.txt,011,0.087112
6578_mda.txt,003,0.030315
6578_mda.txt,002,0.029408
6578_mda.txt,013,0.019176
6578_mda.txt,009,0.010897
6437_mda.txt,014,0.496206
6437_mda.txt,011,0.229548
6437_mda.txt,019,0.151013
6437_mda.txt,000,0.094419
6437_mda.txt,002,0.028814
6111_mda.txt,000,0.547728
6111_mda.txt,011,0.346991
6111_mda.txt,002,0.065591
6111_mda.txt,019,0.03969
6566_mda.txt,000,0.783997
6566_mda.txt,013,0.069192
6566_mda.txt,002,0.036694
6566_mda.txt,015,0.03479
6566_mda.txt,006,0.023472
6566_mda.txt,009,0.0174
6566_mda.txt,008,0.013631
6566_mda.txt,010,0.012786
6566_mda.txt,019,0.008038
6044_mda.txt,007,1.0
6195_mda.txt,000,0.58557
6195_mda.txt,014,0.141878
6195_mda.txt,003,0.070095
6195_mda.txt,006,0.042702
6195_mda.txt,012,0.040632
6195_mda.txt,011,0.035556
6195_mda.txt,002,0.027957
6195_mda.txt,015,0.015835
6195_mda.txt,013,0.014923
6195_mda.txt,009,0.014809
6406_mda.txt,001,0.823437
6406_mda.txt,003,0.106678
6406_mda.txt,006,0.069885
6498_mda.txt,016,0.404262
6498_mda.txt,004,0.391485
6498_mda.txt,002,0.204254
6408_mda.txt,014,0.556754
6408_mda.txt,011,0.145088
6408_mda.txt,019,0.100622
6408_mda.txt,012,0.082067
6408_mda.txt,002,0.051342
6408_mda.txt,000,0.040861
6408_mda.txt,013,0.0133
6408_mda.txt,009,0.009966
6307_mda.txt,000,0.653731
6307_mda.txt,017,0.136742
6307_mda.txt,013,0.097216
6307_mda.txt,003,0.026397
6307_mda.txt,012,0.021615
6307_mda.txt,002,0.021002
6307_mda.txt,018,0.013066
6307_mda.txt,008,0.010775
6307_mda.txt,010,0.01035
6307_mda.txt,014,0.009107
6197_mda.txt,000,0.724537
6197_mda.txt,003,0.059417
6197_mda.txt,011,0.05023
6197_mda.txt,014,0.045767
6197_mda.txt,012,0.032658
6197_mda.txt,002,0.032595
6197_mda.txt,013,0.031674
6197_mda.txt,006,0.011011
6197_mda.txt,009,0.007509
6197_mda.txt,019,0.003675
6106_mda.txt,014,0.310452
6106_mda.txt,000,0.136011
6106_mda.txt,019,0.134121
6106_mda.txt,009,0.13096
6106_mda.txt,003,0.070339
6106_mda.txt,002,0.050803
6106_mda.txt,008,0.044588
6106_mda.txt,011,0.041993
6106_mda.txt,017,0.034926
6106_mda.txt,012,0.02535
6363_mda.txt,001,0.664022
6363_mda.txt,014,0.126915
6363_mda.txt,000,0.099417
6363_mda.txt,015,0.077305
6363_mda.txt,002,0.032341
6274_mda.txt,012,0.337137
6274_mda.txt,011,0.269928
6274_mda.txt,013,0.137643
6274_mda.txt,000,0.107189
6274_mda.txt,019,0.040877
6274_mda.txt,003,0.040574
6274_mda.txt,014,0.037253
6274_mda.txt,002,0.018568
6274_mda.txt,010,0.010831
6091_mda.txt,007,1.0
6136_mda.txt,000,0.44687
6136_mda.txt,001,0.351167
6136_mda.txt,014,0.146412
6136_mda.txt,004,0.055551
6475_mda.txt,014,0.35543
6475_mda.txt,006,0.150779
6475_mda.txt,012,0.13167
6475_mda.txt,011,0.067551
6475_mda.txt,003,0.062638
6475_mda.txt,009,0.049703
6475_mda.txt,000,0.044343
6475_mda.txt,019,0.040505
6475_mda.txt,010,0.027754
6475_mda.txt,013,0.026178
6182_mda.txt,014,0.244244
6182_mda.txt,008,0.225469
6182_mda.txt,018,0.147996
6182_mda.txt,000,0.137168
6182_mda.txt,019,0.05614
6182_mda.txt,013,0.0465
6182_mda.txt,002,0.045233
6182_mda.txt,011,0.043089
6182_mda.txt,010,0.029248
6182_mda.txt,012,0.024915
6223_mda.txt,000,0.750555
6223_mda.txt,011,0.073602
6223_mda.txt,019,0.034554
6223_mda.txt,013,0.030622
6223_mda.txt,002,0.026282
6223_mda.txt,014,0.02467
6223_mda.txt,012,0.023656
6223_mda.txt,010,0.020201
6223_mda.txt,008,0.009649
